personId,n_shots,mean_lateral_dev,std_lateral_dev,p50_lateral_dev,p75_lateral_dev,p90_lateral_dev,p95_lateral_dev,max_lateral_dev
1629674,15,15.490309020658698,4.830286749247035,14.852291223915582,18.084026828225248,23.120583529405135,23.327673032035918,23.72207483553166
1642274,4,16.223955523484108,5.559806883552465,15.991577921293375,21.34191056516124,22.07370847669543,22.317641113873492,22.561573751051554
1629637,11,16.457757924515004,4.629659903081038,17.08453134291052,19.825676734475852,21.08319314219191,22.262680519056097,23.442167895920285
1628991,34,15.951669099822023,3.211708757440093,15.828231911735259,17.27540907844672,21.094767363310073,21.70460718510627,22.511446822950262
1631110,7,17.2030989511917,3.6671347454278616,16.72412596512068,20.055851683435606,21.51746636013458,21.672349928267185,21.827233496399792
1630530,15,17.073203899755235,2.5627929737674617,16.72394517897851,19.268807067433208,20.48290163473879,20.95384779832284,21.505890010670743
1628392,4,17.892806974170924,3.1178465355433023,18.760962017832618,20.047422740914122,20.71458664746354,20.936974616313346,21.159362585163155
1631105,11,16.385543049946758,2.91995285510359,16.27360000000003,18.073732811071338,19.834295499909157,20.850443253292653,21.86659100667615
1627783,39,17.278253118340615,2.490649044744759,17.357157254334915,19.70839954999336,20.30837374748314,20.843693669764622,20.97313614820804
1630529,14,16.56087325911078,3.245187822389836,17.538780323256706,19.059346408795538,19.856564552946885,20.74616507072045,21.906669113502574
1630228,11,16.49040115337127,3.622426278598256,16.86114029173719,19.0293412379181,20.077326118031095,20.69709014218271,21.31685416633432
1629627,21,16.972090527579255,2.404882529121573,16.797835306641083,18.827948756523252,20.408371748701835,20.65794040933801,20.92603144542897
1630166,16,13.72809397669176,4.091798702640537,13.53456637568674,16.181786589966087,19.817184068683282,20.60364994412395,20.69793483422174
1641713,8,17.259571058611826,2.8531397571603043,17.421912329749016,19.354997457628606,19.93931487198627,20.579825572467037,21.220336272947804
1629057,7,14.452681401316681,4.717686865900056,14.740599999999226,17.42118132770156,19.44408598522506,20.559110835532543,21.67413568584003
204001,9,14.557471053312936,3.458351211648201,13.350784397794888,15.464510197646543,18.01810258877647,20.51834552904912,23.018588469321777
1629060,19,15.65994473134526,4.10263141766658,16.82515554972252,18.70545170148538,20.42222313248213,20.50808169741509,20.94711743241434
202710,12,14.206069408701511,4.150940199218325,14.435696953360418,16.234749530757274,19.933182120075077,20.490054375960362,20.97440000000017
1641705,14,16.398421267113484,3.3718611620199024,16.560492184710537,18.790568525363266,19.174225723457045,20.463542619510964,22.85742462955737
1627826,12,15.05757201682802,4.28092689668001,15.975411256084545,18.329885036888562,18.997094477523508,20.453980933746053,22.170394266680148
1642349,17,17.643706515540966,2.3429266363194152,18.11150257974204,19.240875989128845,20.225342069302133,20.388757897340643,20.42642545829013
1630611,16,14.134142793913508,3.9274756827970747,14.11549867692403,18.017150801017905,19.353669044130342,20.355508918029443,20.612521830188307
1642852,4,17.394380398410423,2.3045687389377583,17.201526491606366,18.54311722864442,19.885123046865047,20.332458319605255,20.779793592345463
1641729,9,15.291701835823106,3.876117776936696,16.73824866556743,17.866180993758025,18.746857337659534,20.307556168960396,21.86825500026126
1630583,7,16.94965572098645,2.906724626325296,17.845587224642074,19.272978537193126,20.09775749161734,20.301029629895236,20.504301768173136
1631217,9,16.9414478999977,2.5742131454748574,16.694312864695675,18.84319999999991,19.85221483427441,20.19079117071552,20.529367507156632
1630577,14,16.686652267714752,2.4583883756893226,16.563024269074248,18.874312903277723,19.378006927563103,20.07824438220808,21.207079855631168
1631097,19,17.201094121076746,1.958777174840834,17.864061856829064,18.883780433618377,19.48347216573627,19.941437190891246,20.289323345583604
1630573,17,15.853376595468028,3.195727721361951,16.067375808200016,17.467553406248662,19.05482189156133,19.93562178333336,19.97607334512508
1641842,11,15.818388997168272,2.618212554827542,15.934618317941188,17.11226618706342,18.491863658385363,19.901593499673048,21.311323340960733
1641775,7,16.189102905476872,2.887766488953368,17.00078701192422,18.387212372244758,19.580313941223547,19.859939310635035,20.139564680046526
1627739,6,14.943816991794167,3.4542019181262575,15.365824543136094,16.015737126089853,18.566713680737948,19.764622571580787,20.96253146242363
203994,8,17.42064081077782,2.238970324693289,18.146878431991816,18.582830726920463,19.337934707612384,19.752544637303245,20.16715456699411
1641709,12,14.220395390608601,3.7881600204681405,13.93355051423043,16.692855239956536,19.086426095690246,19.685496475570385,20.125575760067324
201939,15,15.973096344898428,2.9708811161557844,16.82891151588118,18.39413627704439,19.1691390192987,19.623581690058188,20.44565621333401
1629028,13,15.410206207770987,3.0927857035418445,15.675174328894736,17.058437979607003,17.539747992002905,19.596406281716252,22.534098219285124
1629012,10,15.504751403000373,2.6430369251176824,14.492826356871646,18.000330983572844,19.45154828560466,19.507297270169218,19.563046254733774
1630643,16,15.708454319669652,2.3917447901800997,15.603620938236682,16.486143230299145,17.73865657582335,19.5070009393108,22.371914026397775
1631222,15,14.823496616684762,2.9146795223895863,13.98769158862311,17.333326295419226,18.714949158203773,19.443282568775892,19.925206402961404
1642847,10,17.052174269442286,2.043130391135579,17.1531113936029,19.0352714144584,19.25792793888813,19.401888209864627,19.54584848084112
1629614,19,16.206137902844045,2.4797557034575415,16.75343820178166,17.96911745254603,19.035856747058535,19.36891343334292,19.46015721734511
2544,17,15.764065816092298,2.5342363629117264,15.945500826605173,17.856832957793515,18.84272737050228,19.36366278162904,19.402684056651452
1641706,17,15.675543687566671,2.1923951175590597,15.488646242845045,16.852817555326038,19.012031022539123,19.340849227835182,19.366523365849556
1641765,7,16.36318796107871,2.0460539798916213,16.35231814961993,17.66860047903765,18.8951395489173,19.328230682387247,19.761321815857197
1630598,14,15.881805452830395,2.524129124563206,16.215612855365094,17.830027448261877,19.019430861750404,19.31173902288649,19.38861412728789
1642907,14,15.035320512278597,2.440249273016971,14.846047125068434,16.671105469251287,18.62744150820739,19.30204495709229,19.339526641000862
1641739,4,16.507518036095938,2.277665793961325,16.510876497883935,17.623420121198425,18.867935027653804,19.282773329805597,19.69761163195739
1629652,6,15.95286178240408,2.412981067106625,15.98738355639858,17.205875985738526,18.590585557421882,19.273239837534373,19.95589411764686
1629020,10,14.26522960827342,3.225777629519619,13.614335984167116,16.761710168001823,18.54796246245193,19.256813543486196,19.965664624520468
1630595,15,14.31307384207044,2.6795695460820004,14.252005941058794,15.76356767544182,18.13406582789922,19.214320858496638,19.593300636871003
1628983,29,16.309603679083367,2.3611630358798665,17.222336276842917,17.849840919298494,18.812806679634072,19.203242092573674,19.468877282003152
1630191,7,15.772509923448846,3.061080103118896,17.172149107883115,17.52359184142773,18.52238544857653,19.171157720662734,19.819929992748943
1629684,5,15.312684867938694,2.9070155704015,15.056751045076192,17.397413849420285,18.721786918888515,19.163244608711256,19.604702298534
1641733,3,17.042122222957193,1.9985952880413396,17.309860883792343,18.327438160099383,18.937984525883603,19.141499981145014,19.34501543640642
1628381,6,15.2464263385207,3.3849298087586615,16.50931225105225,16.856950080016137,18.396352960627993,19.136660141118846,19.876967321609694
1629673,14,14.864997486508155,2.990863389184891,14.27607358570819,16.62381353822255,17.53628841718237,19.1095812498738,21.827374406763003
1630180,12,15.21933547931524,2.8377659047605492,15.792730845258498,16.87110779614019,18.50341688481938,19.09645390380139,19.614433212690763
1631321,6,15.583459839997543,2.337959543506183,15.310967398848792,16.804598017691863,18.452396510759524,19.030495901342153,19.608595291924782
201935,15,14.115449932062587,3.9500356829693555,14.718103925878017,18.0561994316619,18.855976208209764,19.019359102169272,19.03654716582363
203992,5,14.2781634540269,4.074191252440212,13.425620689655055,18.43555510630562,18.826474936072962,18.95678154599541,19.087088155917854
1629029,55,14.177971645569695,3.697293243833191,14.942407048938065,17.331386641739556,18.77939742411771,18.919610771992513,19.86871707587948
1629111,16,13.769936233371403,3.3807319539346627,13.651539499518329,15.572088970352654,17.54252298900159,18.887251644419493,21.799532109013235
1641718,20,15.559375969306881,2.274541049443169,15.366748552313977,17.265066339970826,18.78498491777395,18.8186755961288,19.297757095788658
1631096,12,15.403138801747389,2.753534594681956,15.69902704543587,16.789532994828654,18.426510783896457,18.81082421261796,19.276091705842386
203924,19,15.33973430891472,2.905522307587157,16.72003293623704,17.13849122520119,18.517887603263702,18.791158188568286,20.385909195620595
1629630,20,15.385077509309985,2.7010391733612975,15.838098658778998,17.9572753407856,18.463401717220762,18.70570943941093,18.987084481859814
201143,15,14.620831250165308,2.8597467977669586,15.470882009067504,16.629319463213506,18.050488246614986,18.672832034880532,19.157700162044584
1642954,14,15.351013473272559,2.566429418209372,15.46156827448213,17.409766774699996,18.000852789867142,18.663500278169572,19.57352000659276
202699,10,15.390036608330286,2.245601863231579,15.128064769709864,16.68593177326969,17.816462358408042,18.62895030558383,19.441438252759625
1629014,15,15.654032547408724,2.27136674609617,16.571739069808054,17.49058015097207,18.478436308953,18.608718750753813,18.87158803938029
1630167,18,15.223578894566735,1.9759319434927078,15.148210207908548,16.393889702444724,17.46583058077512,18.58749767832515,19.27562677608829
1641716,20,15.398419070290194,2.4365175875868323,15.80432774717056,17.133280545449114,18.457736709988662,18.586202732726182,19.026197717501148
1630174,16,15.276650461040253,2.4061473617510214,15.93867435645625,16.677947508813535,17.699168623026793,18.531173173558155,19.558818024985413
1642846,13,16.07880825608885,1.9252854113923354,16.32613734119418,17.86646209523942,18.070534991322436,18.485238944379052,19.052005416492054
1631248,12,14.005998445821271,2.796815745539834,13.59073137986514,15.579872042445585,18.25064555583257,18.439742525347835,18.486552488176784
1631246,9,15.825318764721933,2.3470976745605254,16.44694097625471,18.262729680417483,18.38979565113375,18.406260562399737,18.42272547366572
1642883,5,16.52204334155503,1.5156841947437285,16.658245282099585,17.2159872687034,18.059237698794597,18.340321175491663,18.62140465218873
1641767,19,15.83978542635108,1.7617942524228756,16.130889450432576,17.114260900941993,17.50294562665335,18.31669808982943,18.91152006562311
1628401,33,14.609578161001345,2.5132586552252176,15.016666880514146,15.815846068162202,18.161246907609417,18.287854650032692,18.538845272711793
1642268,12,15.648060732596711,2.2216468101022335,16.07212365963881,17.320423542537522,17.588212556934874,18.268258373708637,19.078869145656682
1641764,18,13.99196973943875,3.1202074095148413,14.135165752747561,15.820498173349371,17.792418434008543,18.234415640396637,18.659299984649852
202695,17,15.78697608768969,1.8474935226930456,16.303855993743095,16.992603539470565,17.82463665555462,18.22811454435148,18.727459444950473
1629004,3,16.433482057479523,1.8378290235708163,17.304928819686868,17.711633647692963,17.955656544496616,18.036997510097837,18.118338475699055
1642366,9,15.565577335712232,2.207732629284663,15.982633360470492,17.467879999999933,17.654922469925484,18.027540845903502,18.40015922188152
1629001,13,15.587248394201586,2.1652709541450843,15.605805755359068,17.309514954336464,17.764316825430047,18.02419596888753,18.390672282612375
