,personId,n_shots,p50_lateral_dev,p95_lateral_dev,mean_lateral_dev,std_lateral_dev,p75_lateral_dev,p90_lateral_dev,max_lateral_dev
0,2544,1,20.14619292396951,19.36366278162904,20.14619292396951,,20.14619292396951,20.14619292396951,20.14619292396951
1,201143,1,19.25272170063882,18.67283203488053,19.25272170063882,,19.25272170063882,19.25272170063882,19.25272170063882
2,201567,3,14.886782663340478,16.236641448818737,14.54824506715218,0.6761622263308185,14.93752663026448,14.967973010418882,14.988270597188484
3,201935,1,16.940391476810177,19.019359102169272,16.940391476810177,,16.940391476810177,16.940391476810177,16.940391476810177
4,201939,1,18.23393047666504,19.623581690058188,18.23393047666504,,18.23393047666504,18.23393047666504,18.23393047666504
5,202696,1,19.66687463588732,17.23779972357486,19.66687463588732,,19.66687463588732,19.66687463588732,19.66687463588732
6,202699,1,19.451099952283784,18.62895030558383,19.451099952283784,,19.451099952283784,19.451099952283784,19.451099952283784
7,203084,6,17.32995912872594,12.282024145379316,16.66115615428794,1.3658529040213683,17.427805474687162,17.588422133778376,17.721734501659235
8,203110,3,19.15359925695117,17.50871911351491,17.38638691869912,3.295223417976457,19.287317978117983,19.36754921081807,19.421036699284794
9,203482,2,19.200276139049627,20.290839258292674,19.200276139049627,0.18461627381586831,19.265547848615924,19.304710874355703,19.33081955818222
10,203484,3,16.80532981647328,17.726620135693988,17.02688067005661,0.49456385036796663,17.19940731368341,17.43585381200949,17.593484810893543
11,203924,3,19.799676265239302,18.79115818856829,19.239428095025985,1.3469172844622197,20.007737235068145,20.13257381696545,20.215798204896988
12,203935,8,16.51235148820303,15.993970258341758,16.452320432304454,1.193879718693713,17.458230365842752,17.673492522702926,18.1085752008306
13,203992,1,16.36216120400856,18.95678154599541,16.36216120400856,,16.36216120400856,16.36216120400856,16.36216120400856
14,203994,1,18.478432722948217,19.752544637303245,18.478432722948217,,18.478432722948217,18.478432722948217,18.478432722948217
15,1626220,2,15.336036305067204,14.881619778783458,15.336036305067204,0.4428305356721703,15.492600542412335,15.586539084819414,15.649164779757466
16,1627739,2,17.221637303107773,19.764622571580787,17.221637303107773,1.4126221246974544,17.721074644921632,18.02073705000995,18.22051198673549
17,1627747,1,18.34415826010455,20.290839258292674,18.34415826010455,,18.34415826010455,18.34415826010455,18.34415826010455
18,1627759,3,15.18916258141555,17.7103471091483,16.225953952585794,2.0401883414264583,16.882748223295394,17.898899608423303,18.57633386517524
19,1627780,1,17.85171459215656,17.163630076254172,17.85171459215656,,17.85171459215656,17.85171459215656,17.85171459215656
20,1627783,1,16.7539946283952,20.843693669764622,16.7539946283952,,16.7539946283952,16.7539946283952,16.7539946283952
21,1627884,1,17.51610569438537,16.38935034513607,17.51610569438537,,17.51610569438537,17.51610569438537,17.51610569438537
22,1628392,6,20.27577690980381,21.21119990633805,20.44043195009586,1.535094745950787,21.19828631256665,22.075944453762034,22.71314037061599
23,1628396,3,18.98887870059255,20.290839258292674,18.542759957972,1.345875419129469,19.298904682706457,19.484920271974797,19.60893066482036
24,1628401,1,18.23854537580258,18.28785465003269,18.23854537580258,,18.23854537580258,18.23854537580258,18.23854537580258
25,1628415,3,17.367719984584983,19.48000821343475,17.660801395176104,1.4057803245271903,18.278869560532023,18.82555930610025,19.190019136479066
26,1628467,1,20.30100303404335,20.290839258292674,20.30100303404335,,20.30100303404335,20.30100303404335,20.30100303404335
27,1628970,1,14.42341244893938,16.38738391007645,14.42341244893938,,14.42341244893938,14.42341244893938,14.42341244893938
28,1628983,3,15.33432318909132,19.203242092573674,15.00639427759482,0.5858124509665722,15.344561594545672,15.350704637818284,15.354800000000024
29,1628991,4,19.502769210736126,21.70460718510627,18.864981572814223,2.422161631125072,20.126024829730163,20.671455518616813,21.03507597787458
30,1629001,2,18.46668540694762,18.02419596888753,18.46668540694762,0.42837575743442075,18.61813910843652,18.70901132932986,18.76959280992542
31,1629004,1,17.70404846515369,18.03699751009784,17.70404846515369,,17.70404846515369,17.70404846515369,17.70404846515369
32,1629012,2,18.42377927472268,19.50729727016921,18.42377927472268,3.258521524144345,19.575840607905075,20.26707740781451,20.72790194108747
33,1629014,1,17.098410675367703,18.608718750753813,17.098410675367703,,17.098410675367703,17.098410675367703,17.098410675367703
34,1629020,6,19.83884994236781,19.2568135434862,19.411092983683762,1.774138385533764,20.371906123375418,20.874753805377203,21.377327030245443
35,1629028,3,19.51297962470289,19.59640628171625,18.221997814150203,2.5208732885328637,19.674436434251902,19.771310519981306,19.83589324380091
36,1629029,7,18.81494496621007,18.91961077199252,17.83859713852681,1.7716335139943429,19.131541348119498,19.401733943400767,19.62131761712249
37,1629057,4,12.522355740941759,20.559110835532543,12.11007974529015,5.402535969130956,14.040722248512655,16.5890859015044,18.287995003498896
38,1629060,5,16.044435515286104,20.50808169741509,16.743727515339096,2.2937265168334102,18.6861068877099,19.24733728650591,19.62149088570325
39,1629111,7,17.252393275210576,18.887251644419493,17.743718497590287,1.8707771481524842,18.455730270430017,19.743394916198334,21.190051034845776
40,1629130,2,18.170193976047653,15.600320974905552,18.170193976047653,2.952421891094212,19.214032746105815,19.840336008140714,20.25787151616398
41,1629599,1,18.8237643885935,18.39313974499888,18.8237643885935,,18.8237643885935,18.8237643885935,18.8237643885935
42,1629614,3,17.482125345082068,19.36891343334292,15.87513796589167,3.57855009834299,17.925309397885535,18.191219829567615,18.368493450689
43,1629627,2,15.59590912023355,20.65794040933801,15.59590912023355,3.2527189437302924,16.745918931436368,17.435924818158057,17.895928742639185
44,1629630,2,17.947420812952853,18.70570943941093,17.947420812952853,1.7811894263268566,18.577166373919603,18.95501371049965,19.20691193488635
45,1629637,4,17.720173151685113,22.262680519056097,17.88093439369994,2.303069796579584,18.510074958242452,19.915936319867356,20.85317722761729
46,1629640,1,14.47045330254123,17.195459174279996,14.47045330254123,,14.47045330254123,14.47045330254123,14.47045330254123
47,1629652,4,17.83815879494172,18.454054701399382,17.92497960726266,1.8374335532578403,18.503722212806156,19.555913772549783,20.257374812378867
48,1629673,3,16.261206114788095,19.1095812498738,15.115639541498986,2.9206445624376185,16.775523319829546,17.084113642854412,17.289840524870993
49,1629750,1,15.835930914499928,20.290839258292674,15.835930914499928,,15.835930914499928,15.835930914499928,15.835930914499928
50,1630163,1,18.282383940861745,16.773113351263277,18.282383940861745,,18.282383940861745,18.282383940861745,18.282383940861745
51,1630166,4,17.25130927850431,20.60364994412395,16.19285646038692,4.971594050414535,19.582613486644988,20.254361145917187,20.70219291876532
52,1630167,3,19.076611457804148,18.58749767832515,18.64130448310181,2.653020054519273,20.063180758213,20.655122338458312,21.049750058621854
53,1630170,3,20.34616543915797,17.814447039085035,19.300090838280013,2.0417600112115664,20.47649744481317,20.554696648206285,20.606829450468364
54,1630174,7,18.17838306140965,18.531173173558155,17.475034575024974,2.5566663161857095,19.284289783000396,19.6813140011846,19.69002855568559
55,1630180,2,15.763127604642683,19.09645390380139,15.763127604642683,2.3726462657775773,16.601984736586818,17.105299015753296,17.44084186853095
56,1630191,5,20.042451527582,19.17115772066273,19.114380903406158,2.287820407701129,20.51035157437807,21.005491474901984,21.335584741917923
57,1630198,1,15.6519642419458,17.57111743489649,15.6519642419458,,15.6519642419458,15.6519642419458,15.6519642419458
58,1630228,3,19.99454052226428,20.69709014218271,19.59245995296338,2.0465757629578616,20.701347682700256,21.125431978961842,21.40815484313623
59,1630322,1,20.509556352394387,20.290839258292674,20.509556352394387,,20.509556352394387,20.509556352394387,20.509556352394387
60,1630529,6,19.10643680360675,20.74616507072045,18.900671362009565,2.0660168403496226,20.524683350810765,20.894086845915496,20.99022916708441
61,1630530,4,19.47310572361848,20.95384779832284,19.183315349615103,1.3343918762567577,19.95748339980833,20.248385779832084,20.44232069984792
62,1630541,3,20.042021163553013,16.874808130578927,18.675353632071662,2.584013700686372,20.165529515682838,20.23963452696073,20.289037867812663
63,1630543,2,17.625574682649535,20.290839258292674,17.625574682649535,1.5202653339835008,18.16306964608082,18.48556662413959,18.700564609512103
64,1630573,2,17.693429043076264,19.93562178333336,17.693429043076264,2.7095105382674713,18.651385680728936,19.226159663320537,19.609342318381607
65,1630577,3,17.63189998671155,20.07824438220808,18.02605065370074,1.1207775951843642,18.461279405120422,18.958907056165742,19.29065882352929
66,1630583,3,19.379933486741187,20.30102962989524,19.33391250652244,1.547273631064091,20.118797871799558,20.562116502834584,20.85766225685793
67,1630595,2,18.212575053988438,19.21432085849664,18.212575053988438,0.6675834749668815,18.44860145506702,18.59021729571417,18.6846278561456
68,1630598,3,16.900180546382607,19.075162729723,16.739576460907383,0.4326213019734279,16.9845541997215,17.035178391724834,17.06892785306039
69,1630611,6,15.791509933817029,20.355508918029443,15.848322949545233,2.3936474531651326,17.783096196939443,18.51284715778494,18.622144900879817
70,1630621,1,18.883243188018263,20.290839258292674,18.883243188018263,,18.883243188018263,18.883243188018263,18.883243188018263
