game_id,period,gc_seconds,defender_id,defender_name,shooter_id,shooter_name,n_intrusion_episodes,max_episode_score,total_contact_frames,max_intrusion_depth,primary_joint,cvi_landing_space_flag,violation_type
22500379,1,48.5,1642268,Isaiah Collier,1631222,Jake LaRavia,2,0.0048,5,0.0347,j_lElbow,True,Crowding
22500379,1,3.2,2544,LeBron James,1641707,Taylor Hendricks,1,0.0001,1,0.0032,j_lWrist,True,Crowding
22500379,2,650.0,1642268,Isaiah Collier,1642876,Adou Thiero,1,0.0,6,0.1936,j_rElbow,False,Clean
22500379,2,609.0,1642846,Ace Bailey,1642876,Adou Thiero,5,0.0,25,0.0156,j_lWrist,False,Clean
22500379,2,587.0,1641729,Brice Sensabaugh,203935,Marcus Smart,3,0.001,20,0.0908,j_rElbow,True,Crowding
22500379,2,541.0,203994,Jusuf Nurkić,1642876,Adou Thiero,3,0.0,23,0.0945,j_lWrist,False,Clean
22500379,2,514.0,1642383,Walter Clayton Jr.,1631222,Jake LaRavia,0,0.0,0,0.0,none,False,Clean
22500379,2,501.0,2544,LeBron James,1641707,Taylor Hendricks,1,0.0,5,0.0464,j_rElbow,False,Clean
22500379,2,472.0,2544,LeBron James,1642383,Walter Clayton Jr.,6,0.0002,16,0.1939,j_rWrist,True,Crowding
22500379,2,450.0,203994,Jusuf Nurkić,1629060,Rui Hachimura,1,0.0,3,0.0524,j_rShoulder,False,Clean
22500379,2,293.0,203994,Jusuf Nurkić,1629637,Jaxson Hayes,11,0.0,60,0.1757,j_lElbow,False,Clean
22500379,2,88.0,1641718,Keyonte George,1628467,Maxi Kleber,2,0.0,10,0.028,j_lWrist,False,Clean
22500379,2,67.0,2544,LeBron James,1641718,Keyonte George,5,0.0001,26,0.1493,j_rHip,True,Crowding
22500379,2,46.0,1641718,Keyonte George,2544,LeBron James,8,0.0011,92,0.0778,j_rElbow,True,Crowding
22500379,2,8.0,1642268,Isaiah Collier,1629029,Luka Dončić,5,0.0001,18,0.0215,j_rWrist,True,Crowding
22500379,2,3.3,1629029,Luka Dončić,1641707,Taylor Hendricks,1,0.0131,4,0.0716,j_lShoulder,True,Crowding
