game_id,period,gc_seconds,event_num,foul_category,offensive_player_id,defensive_player_id,team_abbr,pbp_description,osi_leg_kick,osi_brakecheck,osi_any,max_lateral_dev_in,personal_threshold_in,deviation_z_score,max_deceleration_fps2,decel_threshold_fps2,defender_distance_ft,defender_in_cylinder,n_frames,peak_frame_id,offensive_player_name,defensive_player_name,jump_into_lateral_ft,jump_into_defender_dist_ft,osi_jump_into
22500005,1,661.0,16,shooting,1629614,1628983,OKC,Foul: Shooting,False,False,False,18.368493450689,19.36891343334292,0.872003457772056,81.84097668959724,41.694168043770674,10.849847925201532,False,364,-1,Andrew Nembhard,Shai Gilgeous-Alexander,28.250786958944886,5.636328592266422,False
22500005,1,596.0,31,shooting,1628392,1631097,IND,Foul: Shooting,False,False,False,20.47689963954237,21.21119990633805,0.9312701716060908,59.17368395553782,41.694168043770674,2.5809494377069844,True,301,-1,Isaiah Hartenstein,Bennedict Mathurin,7.268619575232731,6.757632721597113,False
22500005,1,551.0,45,shooting,1629614,1628983,OKC,Foul: Shooting,False,False,False,17.482125345082068,19.36891343334292,0.5145617531835512,31.43819128146798,41.694168043770674,4.390455557228656,False,239,-1,Andrew Nembhard,Shai Gilgeous-Alexander,13.845367721023322,3.918941183534145,False
22500005,1,547.0,49,personal,1630598,1627783,IND,Foul: Personal,False,True,True,17.06892785306039,19.075162729723,0.5119510855599168,161.5666550980497,41.694168043770674,2.7821754078418564,True,240,-1,Aaron Wiggins,Pascal Siakam,,,False
22500005,1,475.0,60,shooting,1630543,1628983,OKC,Foul: Shooting,False,False,False,18.700564609512103,20.290839258292674,1.3872332870139268,94.4514121111639,41.694168043770674,4.236897449785634,False,155,-1,Isaiah Jackson,Shai Gilgeous-Alexander,22.581654688089046,5.1641940319860185,False
22500005,1,441.0,70,personal,1642964,1631097,IND,Foul: Personal,False,False,False,18.85363109277548,20.290839258292674,1.4462130650601648,39.65964979440727,41.694168043770674,3.5503520952153433,False,180,-1,Brooks Barnhizer,Bennedict Mathurin,,,False
22500005,1,416.0,75,shooting,1630174,1628983,OKC,Foul: Shooting,True,False,True,19.69002855568559,18.531173173558155,1.834209394155143,24.18750542715418,41.694168043770674,2.2686119103980737,True,356,38150,Aaron Nesmith,Shai Gilgeous-Alexander,25.882134457349512,2.4426624818013654,True
22500005,1,319.0,93,shooting,1642964,1627783,IND,Foul: Shooting,False,False,False,15.759959908406092,20.290839258292674,0.2541556275858332,113.81844545897968,41.694168043770674,7.73285199651461,False,181,-1,Brooks Barnhizer,Pascal Siakam,9.216200129565815,10.565954760455865,False
22500005,1,250.0,108,shooting,1631119,1630167,IND,Foul: Shooting,False,False,False,12.114993149273465,16.010369037388884,-1.5952978580047348,46.37047135108657,41.694168043770674,10.50447999664905,False,181,-1,Jaylin Williams,Obi Toppin,7.48955920672581,4.4167861619055095,False
22500005,1,79.0,146,shooting,1641767,1642349,OKC,Foul: Shooting,False,False,False,16.802987798099977,18.31669808982943,0.5467167181549553,70.41275542892224,41.694168043770674,2.0416659863944444,True,268,-1,Ben Sheppard,Ajay Mitchell,31.028575492848766,6.905251624669444,False
